鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
信義區,37.34,1080402,四層,辦公商業大樓,516
內湖區,20.33,1080308,一層,公寓(5樓含以下無電梯),379
大安區,53.95,1080412,四層,華廈(10層含以下有電梯),374
中山區,5.47,1080123,十一層,住宅大樓(11層含以上有電梯),562
南港區,3321.85,1080408,九層,住宅大樓(11層含以上有電梯),236
士林區,66.0,1080415,一層,公寓(5樓含以下無電梯),338
信義區,31.56,1080412,九層,辦公商業大樓,522
信義區,12.98,1080417,三層,辦公商業大樓,417
大安區,19.91,1080328,八層,住宅大樓(11層含以上有電梯),372
松山區,27.49,1080323,一層,店面(店鋪),429
內湖區,1.0,1080315,二層,廠辦,269
內湖區,1.0,1080318,六層,廠辦,322
內湖區,1.0,1080402,三層,廠辦,235
內湖區,1.0,1080419,六層,廠辦,284
大安區,15.64,1080304,一層,店面(店鋪),1005
大安區,30.5,1080314,十二層,住宅大樓(11層含以上有電梯),424
大安區,7.3,1080423,三層,住宅大樓(11層含以上有電梯),392
大同區,133.35,1080331,見其他登記事項,店面(店鋪),375
內湖區,27.25,1080318,一層,公寓(5樓含以下無電梯),343
內湖區,33.34,1080418,二層,公寓(5樓含以下無電梯),266
中山區,108.0,1080412,見其他登記事項,店面(店鋪),547
松山區,29.12,1080325,七層,華廈(10層含以下有電梯),343
信義區,67.5,1080416,一層,店面(店鋪),473
松山區,46.13,1080411,一層,店面(店鋪),712
大安區,3.83,1080411,十層,套房(1房1廳1衛),443
大安區,11.55,1080423,八層,住宅大樓(11層含以上有電梯),302
中正區,10.94,1080418,一層,辦公商業大樓,450
中正區,13.38,1080418,一層,辦公商業大樓,435
士林區,31.84,1080418,一層,公寓(5樓含以下無電梯),595
士林區,113.98,1080426,七層,辦公商業大樓,380
信義區,23.14,1080423,二層,華廈(10層含以下有電梯),268
松山區,1737.0,1080212,三層,華廈(10層含以下有電梯),382
萬華區,72.59,1080327,一層,店面(店鋪),358
中山區,20.35,1080425,七層,華廈(10層含以下有電梯),302
中山區,303000.0,1080220,一層,華廈(10層含以下有電梯),350
中山區,29.42,1080307,五層,辦公商業大樓,612
中山區,74.93,1080412,一層,店面(店鋪),1335
中山區,101.94,1080412,一層,店面(店鋪),563
信義區,294.95,1080320,六層,辦公商業大樓,560
松山區,90.18,1080320,六層,華廈(10層含以下有電梯),302
松山區,17.56,1080401,二層,辦公商業大樓,381
信義區,65.7,1080426,一層,公寓(5樓含以下無電梯),450
大安區,11.74,1080320,三層,住宅大樓(11層含以上有電梯),336
大安區,101.81,1080401,一層,公寓(5樓含以下無電梯),614
大安區,30.61,1080424,四層,華廈(10層含以下有電梯),316
中山區,41.4,1080315,一層,公寓(5樓含以下無電梯),349
中山區,82.93,1080402,一層,店面(店鋪),1568
內湖區,43.91,1080330,五層,住宅大樓(11層含以上有電梯),233
大安區,13.74,1080501,九層,住宅大樓(11層含以上有電梯),527
萬華區,4.09,1080413,八層,辦公商業大樓,420
中正區,24.25,1080408,一層,公寓(5樓含以下無電梯),507
萬華區,18.99,1080410,十三層,住宅大樓(11層含以上有電梯),238
萬華區,19.28,1080325,二層,公寓(5樓含以下無電梯),233
內湖區,55.6,1080322,三層,辦公商業大樓,310
內湖區,147.0,1080501,一層,店面(店鋪),253
信義區,9.88,1080422,一層,華廈(10層含以下有電梯),1050
松山區,25.92,1080429,三層,華廈(10層含以下有電梯),460
中山區,24.07,1080402,十二層,辦公商業大樓,404
中正區,19.15,1080501,四層,住宅大樓(11層含以上有電梯),352
信義區,1649.0,1080412,五層,住宅大樓(11層含以上有電梯),562
信義區,44.39,1080430,一層,店面(店鋪),1440
信義區,390.92,1080430,十一層,辦公商業大樓,794
松山區,4.42,1080422,十七層,住宅大樓(11層含以上有電梯),493
大安區,9.63,1080416,四層,辦公商業大樓,370
士林區,7.08,1080503,一層,其他,618
內湖區,88.0,1080501,全,透天厝,172
內湖區,89.39,1080402,一層,店面(店鋪),541
大安區,13.15,1080506,五層,住宅大樓(11層含以上有電梯),322
中山區,14.02,1080415,NA,其他,NA
