鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
中山區,9.45,1110211,二層,辦公商業大樓,338
信義區,16.12,1110124,二層,公寓(5樓含以下無電梯),276
松山區,7.2,1110128,四層,公寓(5樓含以下無電梯),512
萬華區,4.16,1110211,八層,套房(1房1廳1衛),364
內湖區,38.68,1110214,一層,公寓(5樓含以下無電梯),421
大同區,6.35,1101225,六層,華廈(10層含以下有電梯),326
松山區,21.81,1110214,七層,華廈(10層含以下有電梯),499
信義區,11.25,1110115,十層,住宅大樓(11層含以上有電梯),449
松山區,6.73,1110215,十一層,住宅大樓(11層含以上有電梯),491
大安區,13.93,1110103,見其他登記事項,店面(店鋪),385
大安區,44.87,1110115,一層,華廈(10層含以下有電梯),402
信義區,25.13,1110217,一層,公寓(5樓含以下無電梯),248
士林區,92.0,1110220,三層,公寓(5樓含以下無電梯),125
中正區,61.0,1110219,全,透天厝,436
內湖區,4.35,1110219,一層,店面(店鋪),628
中山區,29.57,1110221,一層,公寓(5樓含以下無電梯),536
士林區,33.02,1110217,一層,公寓(5樓含以下無電梯),319
松山區,48.36,1110117,十二層,住宅大樓(11層含以上有電梯),232
松山區,62.04,1110113,六層,辦公商業大樓,385
松山區,26.23,1110216,三層,華廈(10層含以下有電梯),285
松山區,36.0,1110128,四層,公寓(5樓含以下無電梯),363
松山區,10.83,1110217,三層,住宅大樓(11層含以上有電梯),475
中山區,12.96,1110125,十層,住宅大樓(11層含以上有電梯),380
松山區,23.39,1110117,一層,華廈(10層含以下有電梯),423
南港區,28.25,1110216,一層,店面(店鋪),483
南港區,210.35,1110224,二層,廠辦,141
南港區,12.82,1110222,十三層,住宅大樓(11層含以上有電梯),429
中山區,34.27,1110201,一層,華廈(10層含以下有電梯),255
中山區,30.91,1110209,二層,華廈(10層含以下有電梯),421
文山區,41.63,1110217,四層,公寓(5樓含以下無電梯),255
士林區,77.19,1110301,二層,華廈(10層含以下有電梯),258
士林區,72.27,1110209,二層,公寓(5樓含以下無電梯),138
士林區,130.28,1110207,五層,公寓(5樓含以下無電梯),230
信義區,34.36,1110125,三層,住宅大樓(11層含以上有電梯),303
大同區,35.43,1110225,七層,辦公商業大樓,384
內湖區,426.01,1110208,二層,辦公商業大樓,406
中山區,26.49,1110301,二層,公寓(5樓含以下無電梯),366
萬華區,20.0,1110302,見其他登記事項,公寓(5樓含以下無電梯),287
萬華區,1571.0,1110218,七層,辦公商業大樓,291
士林區,53.0,1110215,全,透天厝,809
大安區,28.56,1110126,二層,華廈(10層含以下有電梯),330
中山區,39.67,1110303,一層,住宅大樓(11層含以上有電梯),602
中山區,109.7,1100215,四層,華廈(10層含以下有電梯),451
中山區,219.72,1110301,地下一層,華廈(10層含以下有電梯),184
內湖區,3184.0,1110302,一層,公寓(5樓含以下無電梯),307
信義區,15.29,1110301,一層,店面(店鋪),626
內湖區,80.28,1110228,一層,公寓(5樓含以下無電梯),389
大安區,734.0,1110309,一層,公寓(5樓含以下無電梯),603
大安區,78.86,1110221,二層,辦公商業大樓,392
大同區,34.0,1110221,四層,公寓(5樓含以下無電梯),426
松山區,7.1,1110221,七層,辦公商業大樓,421
松山區,7.31,1110228,四層,公寓(5樓含以下無電梯),504
中山區,24.07,1110310,十二層,辦公商業大樓,404
內湖區,935.37,1110310,NA,其他,214
中山區,991.73,1110219,三層,華廈(10層含以下有電梯),275
內湖區,53.41,1110301,一層,公寓(5樓含以下無電梯),960
信義區,106.0,1110208,一層,店面(店鋪),2358
中山區,38.75,1110221,四層,公寓(5樓含以下無電梯),301
中正區,189.0,1110310,二層,華廈(10層含以下有電梯),388
松山區,24.16,1110308,九層,住宅大樓(11層含以上有電梯),229
南港區,34.46,1110316,一層,店面(店鋪),343
