鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
內湖區,22.59,1100209,一層,公寓(5樓含以下無電梯),471
中山區,51.81,1100217,一層,華廈(10層含以下有電梯),482
中山區,381.0,1091229,四層,住宅大樓(11層含以上有電梯),465
信義區,80.0,1100122,NA,其他,150
萬華區,235.0,1100210,見其他登記事項,華廈(10層含以下有電梯),398
信義區,15.19,1100203,十九層,住宅大樓(11層含以上有電梯),710
中正區,3.9,1100221,七層,住宅大樓(11層含以上有電梯),559
文山區,39.82,1100222,七層,華廈(10層含以下有電梯),212
士林區,305.23,1100205,九層,住宅大樓(11層含以上有電梯),336
中山區,190.55,1100101,七層,住宅大樓(11層含以上有電梯),468
大安區,16.24,1100220,六層,住宅大樓(11層含以上有電梯),337
中山區,31.54,1100128,見其他登記事項,住宅大樓(11層含以上有電梯),740
信義區,108.39,1100208,見其他登記事項,辦公商業大樓,697
南港區,36.5,1100220,一層,公寓(5樓含以下無電梯),598
內湖區,129.15,1100224,一層,店面(店鋪),348
大安區,6.6,1100119,四層,住宅大樓(11層含以上有電梯),500
松山區,204.0,1100201,一層,公寓(5樓含以下無電梯),864
松山區,5.27,1100208,七層,住宅大樓(11層含以上有電梯),447
松山區,24.96,1100110,二層,華廈(10層含以下有電梯),318
士林區,66.0,1100125,全,透天厝,517
北投區,171.42,1100209,一層,店面(店鋪),413
文山區,60.09,1100125,四層,住宅大樓(11層含以上有電梯),366
中山區,48.28,1100122,七層,華廈(10層含以下有電梯),352
中山區,104.91,1100219,三層,公寓(5樓含以下無電梯),257
萬華區,17.0,1100208,見其他登記事項,辦公商業大樓,412
內湖區,145.99,1100302,一層,店面(店鋪),233
中山區,23.43,1100301,二層,華廈(10層含以下有電梯),270
信義區,73.36,1100202,一層,住宅大樓(11層含以上有電梯),577
內湖區,102.35,1100305,一層,公寓(5樓含以下無電梯),537
北投區,3.89,1100202,十一層,住宅大樓(11層含以上有電梯),328
內湖區,39.89,1100308,一層,店面(店鋪),382
北投區,7.73,1100308,六層,住宅大樓(11層含以上有電梯),377
中山區,29.5,1100311,三層,公寓(5樓含以下無電梯),299
信義區,8.53,1100313,十三層,住宅大樓(11層含以上有電梯),526
中正區,37.0,1100203,見其他登記事項,店面(店鋪),1547
大同區,177.0,1100227,見其他登記事項,公寓(5樓含以下無電梯),311
北投區,32.04,1100129,見其他登記事項,華廈(10層含以下有電梯),270
北投區,39.5,1100122,一層,公寓(5樓含以下無電梯),357
北投區,59.7,1100301,七層,華廈(10層含以下有電梯),273
大安區,27.24,1100301,五層,住宅大樓(11層含以上有電梯),637
士林區,75.01,1100317,全,透天厝,320
松山區,74.25,1100308,一層,公寓(5樓含以下無電梯),660
中山區,4.25,1100301,四層,公寓(5樓含以下無電梯),830
內湖區,158.9,1100318,全,透天厝,227
中山區,19.1,1100318,五層,辦公商業大樓,426
中山區,11.33,1100316,一層,店面(店鋪),495
中山區,5.93,1100208,七層,華廈(10層含以下有電梯),398
大安區,77.2,1100322,一層,店面(店鋪),1378
中正區,6.93,1100228,十層,住宅大樓(11層含以上有電梯),324
中山區,75.4,1100301,八層,辦公商業大樓,332
士林區,25.97,1100221,二層,華廈(10層含以下有電梯),266
北投區,27.99,1100323,一層,華廈(10層含以下有電梯),486
士林區,19.2,1100325,一層,公寓(5樓含以下無電梯),480
士林區,146.0,1091126,全,透天厝,417
士林區,168.0,1000226,四層,住宅大樓(11層含以上有電梯),495
士林區,0.04,1100228,NA,其他,NA
松山區,37.5,1100325,一層,公寓(5樓含以下無電梯),563
信義區,77.45,1100309,六層,住宅大樓(11層含以上有電梯),534
南港區,30.08,1100326,四層,公寓(5樓含以下無電梯),339
士林區,16.85,1100217,一層,華廈(10層含以下有電梯),282
大安區,11.87,1100316,十一層,住宅大樓(11層含以上有電梯),373
北投區,47.29,1100222,三層,華廈(10層含以下有電梯),363
中山區,21.46,1100318,二層,辦公商業大樓,325
南港區,34.47,1100322,一層,公寓(5樓含以下無電梯),283
萬華區,99.0,1100308,二層,公寓(5樓含以下無電梯),329
內湖區,36.9,1100321,四層,公寓(5樓含以下無電梯),231
大安區,30.88,1100331,四層,華廈(10層含以下有電梯),374
內湖區,228.81,1100401,四層,辦公商業大樓,328
內湖區,35.16,1100330,四層,華廈(10層含以下有電梯),252
大安區,11.2,1100316,四層,住宅大樓(11層含以上有電梯),557
大安區,33.63,1100222,一層,店面(店鋪),1046
中正區,205.74,1100329,二層,華廈(10層含以下有電梯),315
內湖區,23.19,1100406,一層,公寓(5樓含以下無電梯),393
北投區,1363.67,1100228,見其他登記事項,店面(店鋪),311
松山區,20.4,1100322,六層,華廈(10層含以下有電梯),409
中正區,38.76,1100406,二層,辦公商業大樓,355
中山區,328.48,1100408,六層,辦公商業大樓,467
大安區,7.45,1100304,見其他登記事項,店面(店鋪),1072
松山區,26.4,1100326,一層,公寓(5樓含以下無電梯),389
中山區,118.34,1100331,三層,辦公商業大樓,856
中山區,40.0,1100401,一層,公寓(5樓含以下無電梯),601
信義區,32.75,1100328,一層,店面(店鋪),613
信義區,18.17,1100331,一層,店面(店鋪),407
松山區,45.0,1100325,一層,公寓(5樓含以下無電梯),657
北投區,5.39,1100223,二層,華廈(10層含以下有電梯),281
文山區,21.5,1100412,四層,公寓(5樓含以下無電梯),283
中正區,376.0,1100405,三層,華廈(10層含以下有電梯),524
內湖區,87.77,1100409,二層,公寓(5樓含以下無電梯),284
內湖區,25.28,1100416,一層,公寓(5樓含以下無電梯),351
南港區,67.38,1100325,三層,公寓(5樓含以下無電梯),158
大安區,13.05,1100416,五層,華廈(10層含以下有電梯),423
內湖區,34.1,1100420,一層,華廈(10層含以下有電梯),523
大同區,7.2,1100413,一層,套房(1房1廳1衛),487
信義區,42.87,1100416,一層,公寓(5樓含以下無電梯),526
