鄉鎮市區,土地面積平方公尺,租賃年月日,租賃層次,建物型態,單價元平方公尺
The villages and towns urban district,land shifting total area square meter,transaction year month and day,shifting level,building state,the unit price (NTD / square meter)
內湖區,28.11,1120331,二層,公寓(5樓含以下無電梯),313
北投區,24.37,1120228,十三層,住宅大樓(11層含以上有電梯),347
北投區,30.38,1120307,三層,公寓(5樓含以下無電梯),240
北投區,2556.44,1120303,十九層,住宅大樓(11層含以上有電梯),257
大同區,757.0,1120323,四層,公寓(5樓含以下無電梯),185
信義區,10.36,1120413,五層,辦公商業大樓,498
信義區,16.95,1120322,七層,辦公商業大樓,412
萬華區,27.09,1120114,十一層,住宅大樓(11層含以上有電梯),251
士林區,219.46,1120317,一層,華廈(10層含以下有電梯),556
士林區,46.29,1120325,三層,住宅大樓(11層含以上有電梯),434
文山區,22.9,1120330,一層,店面(店鋪),362
松山區,33.0,1120414,三層,公寓(5樓含以下無電梯),310
士林區,43.0,1120413,全,透天厝,540
大同區,757.0,1120326,三層,公寓(5樓含以下無電梯),190
大同區,757.0,1120329,三層,公寓(5樓含以下無電梯),205
內湖區,42.86,1120417,四層,住宅大樓(11層含以上有電梯),282
中山區,2.0,1120413,十一層,住宅大樓(11層含以上有電梯),452
內湖區,19.55,1120304,八層,住宅大樓(11層含以上有電梯),389
內湖區,30.07,1120307,一層,公寓(5樓含以下無電梯),298
內湖區,30.25,1120301,一層,公寓(5樓含以下無電梯),484
內湖區,12.57,1120419,二層,公寓(5樓含以下無電梯),306
中山區,4.68,1120410,五層,華廈(10層含以下有電梯),348
南港區,18.26,1120330,六層,辦公商業大樓,328
士林區,99.25,1120420,一層,公寓(5樓含以下無電梯),694
中山區,104.5,1020410,七層,華廈(10層含以下有電梯),317
大同區,130.0,1120409,六層,華廈(10層含以下有電梯),510
信義區,18.65,1120328,十三層,辦公商業大樓,434
松山區,28.88,1120414,四層,華廈(10層含以下有電梯),305
信義區,4.14,1110929,三層,公寓(5樓含以下無電梯),469
大同區,28.85,1120315,八層,住宅大樓(11層含以上有電梯),250
松山區,6.34,1120331,三層,住宅大樓(11層含以上有電梯),561
中山區,4.19,1120303,八層,辦公商業大樓,619
內湖區,14.14,1120318,二層,其他,458
中山區,20.0,1120405,五層,辦公商業大樓,332
信義區,73.11,1120421,六層,住宅大樓(11層含以上有電梯),482
松山區,6.45,1120429,六層,住宅大樓(11層含以上有電梯),480
中正區,7.7,1120412,八層,華廈(10層含以下有電梯),407
內湖區,39.1,1120323,二層,公寓(5樓含以下無電梯),214
內湖區,13.96,1120420,十層,住宅大樓(11層含以上有電梯),419
中山區,4.68,1120203,五層,華廈(10層含以下有電梯),336
內湖區,248.6,1120501,一層,工廠,NA
士林區,29.8,1120502,六層,華廈(10層含以下有電梯),312
松山區,4.25,1120418,十六層,住宅大樓(11層含以上有電梯),483
松山區,97.0,1120429,一層,公寓(5樓含以下無電梯),596
松山區,26.71,1120510,三層,華廈(10層含以下有電梯),398
